airline_name,airport_name,avg_delay
"Alaska Airlines","Adak, AK: Adak",35.3333
"Allegiant Air","Ogdensburg, NY: Ogdensburg International",214.0000
"American Airlines","Fayetteville, AR: Northwest Arkansas Regional",46.0702
"Delta Air Lines","Rapid City, SD: Rapid City Regional",36.9706
"Endeavor Air","Dallas/Fort Worth, TX: Dallas/Fort Worth International",34.2593
"Envoy Air","Albany, NY: Albany International",48.8846
"ExpressJet Airlines","Rochester, NY: Greater Rochester International",156.0556
"Frontier Airlines","Billings, MT: Billings Logan International",57.0769
"Hawaiian Airlines","Portland, OR: Portland International",23.0645
"JetBlue Airways","Newburgh, NY: New York Stewart International",55.7742
"Mesa Airlines","Madison, WI: Dane County Regional",71.5000
"PSA Airlines","Portland, ME: Portland International Jetport",67.4286
"Republic Airways","Little Rock, AR: Bill and Hillary Clinton National",66.6667
"SkyWest Airlines","Hartford, CT: Bradley International",71.3095
"Southwest Airlines","New York, NY: LaGuardia",26.0220
"Spirit Air Lines","Asheville, NC: Asheville Regional",44.4490
"United Air Lines","Harrisburg, PA: Harrisburg International",88.6000
