airport_name,cancellation_reason,num_cancellations
"New York, NY: LaGuardia","National Air System""D",394
"Chicago, IL: O'Hare International","National Air System""D",287
"Newark, NJ: Newark Liberty International","National Air System""D",272
"Dallas/Fort Worth, TX: Dallas/Fort Worth International","Carrier""B",233
"New York, NY: John F. Kennedy International","National Air System""D",211
"Los Angeles, CA: Los Angeles International","Carrier""B",148
"Washington, DC: Ronald Reagan Washington National","National Air System""D",137
"Phoenix, AZ: Phoenix Sky Harbor International","Carrier""B",112
"Charlotte, NC: Charlotte Douglas International","National Air System""D",106
"San Francisco, CA: San Francisco International","Carrier""B",104
"Las Vegas, NV: McCarran International","Carrier""B",98
"Philadelphia, PA: Philadelphia International","National Air System""D",93
"Baltimore, MD: Baltimore/Washington International","National Air System""D",91
"Boston, MA: Logan International","National Air System""D",87
"Atlanta, GA: Hartsfield-Jackson Atlanta International","Carrier""B",70
"Raleigh/Durham, NC: Raleigh-Durham International","National Air System""D",70
"Burbank, CA: Hollywood Burbank","Carrier""B",65
"Cleveland, OH: Cleveland Hopkins International","National Air System""D",62
"San Diego, CA: San Diego International","Carrier""B",58
"San Jose, CA: Norman Y. Mineta San Jose International","Carrier""B",58
"Denver, CO: Denver International","Carrier""B",56
"Oakland, CA: Metropolitan Oakland International","Carrier""B",56
"Columbus, OH: John Glenn Columbus International","National Air System""D",55
"Nashville, TN: Nashville International","National Air System""D",55
"Seattle, WA: Seattle/Tacoma International","Carrier""B",51
"Cincinnati, OH: Cincinnati/Northern Kentucky International","National Air System""D",50
"Orlando, FL: Orlando International","Carrier""B",50
"Detroit, MI: Detroit Metro Wayne County","National Air System""D",47
"Miami, FL: Miami International","Carrier""B",46
"Washington, DC: Washington Dulles International","Carrier""B",46
"Indianapolis, IN: Indianapolis International","National Air System""D",45
"Norfolk, VA: Norfolk International","National Air System""D",45
"Houston, TX: George Bush Intercontinental","Carrier""B",44
"Houston, TX: William P. Hobby","Carrier""B",41
"Sacramento, CA: Sacramento International","Carrier""B",40
"St. Louis, MO: St. Louis Lambert International","National Air System""D",40
"Dallas, TX: Dallas Love Field","Carrier""B",35
"Pittsburgh, PA: Pittsburgh International","National Air System""D",34
"Richmond, VA: Richmond International","National Air System""D",32
"Buffalo, NY: Buffalo Niagara International","National Air System""D",31
"Rochester, NY: Greater Rochester International","National Air System""D",31
"Austin, TX: Austin-Bergstrom International","Carrier""B",28
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","Carrier""B",28
"New Orleans, LA: Louis Armstrong New Orleans International","Carrier""B",27
"Jacksonville, FL: Jacksonville International","National Air System""D",26
"Portland, ME: Portland International Jetport","National Air System""D",26
"Memphis, TN: Memphis International","National Air System""D",25
"Tampa, FL: Tampa International","Carrier""B",25
"Greer, SC: Greenville-Spartanburg International","National Air System""D",24
"Louisville, KY: Louisville International","National Air System""D",24
"Santa Ana, CA: John Wayne Airport","Carrier""B",24
"Kansas City, MO: Kansas City International","National Air System""D",23
"Minneapolis, MN: Minneapolis-St Paul International","National Air System""D",23
"Chicago, IL: Midway International","National Air System""D",22
"Birmingham, AL: Birmingham-Shuttlesworth International","Carrier""B",18
"Burlington, VT: Burlington International","National Air System""D",18
"Honolulu, HI: Daniel K. Inouye International","Carrier""B",18
"Providence, RI: Theodore Francis Green State","National Air System""D",18
"Greensboro, NC: Piedmont Triad International","National Air System""D",17
"Santa Barbara, CA: Santa Barbara Municipal","National Air System""D",17
"Charleston, SC: Charleston International","National Air System""D",16
"Knoxville, TN: McGhee Tyson","National Air System""D",16
"Dayton, OH: James M. Cox Dayton International","National Air System""D",15
"Myrtle Beach, SC: Myrtle Beach International","Carrier""B",15
"Portland, OR: Portland International","Carrier""B",15
"Savannah, GA: Savannah/Hilton Head International","National Air System""D",15
"El Paso, TX: El Paso International","Carrier""B",14
"Kahului, HI: Kahului Airport","Carrier""B",14
"Milwaukee, WI: General Mitchell International","National Air System""D",14
"Akron, OH: Akron-Canton","National Air System""D",13
"Madison, WI: Dane County Regional","National Air System""D",13
"Salt Lake City, UT: Salt Lake City International","Carrier""B",13
